㦪;xie;4;xìe
㦬;luo;3;lǔo
㦭;ling;2;líng
㦮;qian;2;qían
㦯;huo;4;hùo
㦱;wo;3;wǒ
㦴;ge;2;gé
㦶;die;2;díe
㦷;yong;3;yǒng
㦸;ji;3;jǐ
㦹;ang;4;àng
㦺;ru;3;rǔ
㦻;xi;2;xí
㦼;shuang;4;shùang
㦽;xu;4;xù
㦾;yi;2;yí
㦿;hu;4;hù
㧀;ji;2;jí
㧁;qu;4;qù
㧂;tian;2;tían
㧄;qian;3;qǐan
㧅;mu;4;mù
㧇;mao;3;mǎo
㧈;yin;3;yǐn
㧉;gai;4;gài
㧊;ba;2;bá
㧋;xian;3;xǐan
㧌;mao;4;mào
㧍;fang;3;fǎng
㧎;ya;2;yá
㧐;song;3;sǒng
㧑;wei;2;wéi
㧒;xue;2;xúe
㧔;guai;4;gùai
㧕;jiu;4;jìu
㧖;e;4;è
㧗;zi;3;zǐ
㧘;cui;4;cùi
㧙;bi;4;bì
㧚;wa;3;wǎ
